dataset,category,k,run_name,num_samples,spearman_I_bin_error
mvtec,bottle,1,CLS-mvtec-bottle-k1-seed111-per_sample,83,0.298562711212933
mvtec,bottle,2,CLS-mvtec-bottle-k2-seed111-per_sample,83,0.5291166983831487
mvtec,bottle,4,CLS-mvtec-bottle-k4-seed111-per_sample,83,
mvtec,cable,1,CLS-mvtec-cable-k1-seed111-per_sample,150,0.7971597849970897
mvtec,cable,2,CLS-mvtec-cable-k2-seed111-per_sample,150,0.7502766556862033
mvtec,cable,4,CLS-mvtec-cable-k4-seed111-per_sample,150,0.7101973481398767
mvtec,capsule,1,CLS-mvtec-capsule-k1-seed111-per_sample,132,0.23764895229809477
mvtec,capsule,2,CLS-mvtec-capsule-k2-seed111-per_sample,132,0.4663334004463625
mvtec,capsule,4,CLS-mvtec-capsule-k4-seed111-per_sample,132,0.7261631993289045
mvtec,carpet,1,CLS-mvtec-carpet-k1-seed111-per_sample,117,
mvtec,carpet,2,CLS-mvtec-carpet-k2-seed111-per_sample,117,
mvtec,carpet,4,CLS-mvtec-carpet-k4-seed111-per_sample,117,
mvtec,grid,1,CLS-mvtec-grid-k1-seed111-per_sample,78,0.6291540733599891
mvtec,grid,2,CLS-mvtec-grid-k2-seed111-per_sample,78,0.7382672574553119
mvtec,grid,4,CLS-mvtec-grid-k4-seed111-per_sample,78,0.4727261276885966
mvtec,hazelnut,1,CLS-mvtec-hazelnut-k1-seed111-per_sample,110,0.30607214873897154
mvtec,hazelnut,2,CLS-mvtec-hazelnut-k2-seed111-per_sample,110,0.1696354489325456
mvtec,hazelnut,4,CLS-mvtec-hazelnut-k4-seed111-per_sample,110,0.17642172871178152
mvtec,leather,1,CLS-mvtec-leather-k1-seed111-per_sample,124,
mvtec,leather,2,CLS-mvtec-leather-k2-seed111-per_sample,124,
mvtec,leather,4,CLS-mvtec-leather-k4-seed111-per_sample,124,
mvtec,metal_nut,1,CLS-mvtec-metal_nut-k1-seed111-per_sample,115,0.38494860159586175
mvtec,metal_nut,2,CLS-mvtec-metal_nut-k2-seed111-per_sample,115,0.24676450090754612
mvtec,metal_nut,4,CLS-mvtec-metal_nut-k4-seed111-per_sample,115,
mvtec,pill,1,CLS-mvtec-pill-k1-seed111-per_sample,167,0.5738434068852444
mvtec,pill,2,CLS-mvtec-pill-k2-seed111-per_sample,167,0.5430315403270805
mvtec,pill,4,CLS-mvtec-pill-k4-seed111-per_sample,167,0.5119898984206606
mvtec,screw,1,CLS-mvtec-screw-k1-seed111-per_sample,160,0.0389961258406418
mvtec,screw,2,CLS-mvtec-screw-k2-seed111-per_sample,160,0.5662578364374989
mvtec,screw,4,CLS-mvtec-screw-k4-seed111-per_sample,160,0.47223532422888154
mvtec,tile,1,CLS-mvtec-tile-k1-seed111-per_sample,117,0.3644982130725144
mvtec,tile,2,CLS-mvtec-tile-k2-seed111-per_sample,117,0.3997885906020337
mvtec,tile,4,CLS-mvtec-tile-k4-seed111-per_sample,117,
mvtec,toothbrush,1,CLS-mvtec-toothbrush-k1-seed111-per_sample,42,0.0585595473397997
mvtec,toothbrush,2,CLS-mvtec-toothbrush-k2-seed111-per_sample,42,0.15374913483643188
mvtec,toothbrush,4,CLS-mvtec-toothbrush-k4-seed111-per_sample,42,0.17874754126524933
mvtec,transistor,1,CLS-mvtec-transistor-k1-seed111-per_sample,100,0.490093665037675
mvtec,transistor,2,CLS-mvtec-transistor-k2-seed111-per_sample,100,0.7568021816149937
mvtec,transistor,4,CLS-mvtec-transistor-k4-seed111-per_sample,100,0.8409791713363398
mvtec,wood,1,CLS-mvtec-wood-k1-seed111-per_sample,79,0.5751888540181939
mvtec,wood,2,CLS-mvtec-wood-k2-seed111-per_sample,79,0.5425663958578261
mvtec,wood,4,CLS-mvtec-wood-k4-seed111-per_sample,79,0.5156272713818217
mvtec,zipper,1,CLS-mvtec-zipper-k1-seed111-per_sample,151,0.8627761422017184
mvtec,zipper,2,CLS-mvtec-zipper-k2-seed111-per_sample,151,0.7863536513531192
mvtec,zipper,4,CLS-mvtec-zipper-k4-seed111-per_sample,151,0.7373380167189811
visa,candle,1,CLS-visa-candle-k1-seed111-per_sample,1100,0.7172113008310449
visa,candle,2,CLS-visa-candle-k2-seed111-per_sample,1100,0.8274703137457786
visa,candle,4,CLS-visa-candle-k4-seed111-per_sample,1100,0.7993259078111871
visa,capsules,1,CLS-visa-capsules-k1-seed111-per_sample,702,0.15425295994982105
visa,capsules,2,CLS-visa-capsules-k2-seed111-per_sample,702,0.22171259248854383
visa,capsules,2,capsules,0,
visa,capsules,4,CLS-visa-capsules-k4-seed111-per_sample,702,0.3673964234987819
visa,cashew,1,CLS-visa-cashew-k1-seed111-per_sample,600,0.8548258934072992
visa,cashew,2,CLS-visa-cashew-k2-seed111-per_sample,600,0.8650218415338592
visa,cashew,4,CLS-visa-cashew-k4-seed111-per_sample,600,0.6049908574925391
visa,chewinggum,1,CLS-visa-chewinggum-k1-seed111-per_sample,603,0.852821616714263
visa,chewinggum,2,CLS-visa-chewinggum-k2-seed111-per_sample,603,0.7739643303822245
visa,chewinggum,4,CLS-visa-chewinggum-k4-seed111-per_sample,603,0.8434651515526357
visa,fryum,1,CLS-visa-fryum-k1-seed111-per_sample,600,0.8902505288474237
visa,fryum,2,CLS-visa-fryum-k2-seed111-per_sample,600,0.8223939268566915
visa,fryum,4,CLS-visa-fryum-k4-seed111-per_sample,600,0.8152545597660179
visa,macaroni1,1,CLS-visa-macaroni1-k1-seed111-per_sample,1100,0.5890181686722215
visa,macaroni1,2,CLS-visa-macaroni1-k2-seed111-per_sample,1100,0.8910259077075868
visa,macaroni1,4,CLS-visa-macaroni1-k4-seed111-per_sample,1100,0.8453485694727273
visa,macaroni2,1,CLS-visa-macaroni2-k1-seed111-per_sample,1100,0.5821795059691034
visa,macaroni2,2,CLS-visa-macaroni2-k2-seed111-per_sample,1100,0.5722967460626681
visa,macaroni2,4,CLS-visa-macaroni2-k4-seed111-per_sample,1100,0.7459297671812163
visa,pcb1,1,CLS-visa-pcb1-k1-seed111-per_sample,1104,0.9139541142364082
visa,pcb1,2,CLS-visa-pcb1-k2-seed111-per_sample,1104,0.6934933627794637
visa,pcb1,4,CLS-visa-pcb1-k4-seed111-per_sample,1104,0.894100312482883
visa,pcb2,1,CLS-visa-pcb2-k1-seed111-per_sample,1101,0.5574878448651065
visa,pcb2,2,CLS-visa-pcb2-k2-seed111-per_sample,1101,0.5848503217505072
visa,pcb2,4,CLS-visa-pcb2-k4-seed111-per_sample,1101,0.5252721666912404
visa,pcb3,1,CLS-visa-pcb3-k1-seed111-per_sample,1106,0.6667679167969739
visa,pcb3,2,CLS-visa-pcb3-k2-seed111-per_sample,1106,0.741656150641796
visa,pcb3,4,CLS-visa-pcb3-k4-seed111-per_sample,1106,0.8184304672356586
visa,pcb4,1,CLS-visa-pcb4-k1-seed111-per_sample,1105,0.8129446319435107
visa,pcb4,2,CLS-visa-pcb4-k2-seed111-per_sample,1105,0.8080017128107921
visa,pcb4,4,CLS-visa-pcb4-k4-seed111-per_sample,1105,0.7054441854272699
visa,pipe_fryum,1,CLS-visa-pipe_fryum-k1-seed111-per_sample,600,0.249972486238266
visa,pipe_fryum,2,CLS-visa-pipe_fryum-k2-seed111-per_sample,600,0.4944788509217512
visa,pipe_fryum,4,CLS-visa-pipe_fryum-k4-seed111-per_sample,600,0.3078604267957005
